# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
CDS	with_protein	GCA_000020985.1	Primary Assembly	chromosome		CP001147.1	593387	594031	-	ACI21408.1			two-component response regulator			THEYE_A0604	645	214	
gene	protein_coding	GCA_000020985.1	Primary Assembly	chromosome		CP001147.1	594121	595743	-					groL		THEYE_A0605	1623		
CDS	with_protein	GCA_000020985.1	Primary Assembly	chromosome		CP001147.1	594121	595743	-	ACI20456.1			chaperonin GroL	groL		THEYE_A0605	1623	540	
gene	protein_coding	GCA_000020985.1	Primary Assembly	chromosome		CP001147.1	595760	596026	-					groS2		THEYE_A0606	267		
CDS	with_protein	GCA_000020985.1	Primary Assembly	chromosome		CP001147.1	595760	596026	-	ACI22172.1			chaperonin GroS	groS2		THEYE_A0606	267	88	
gene	protein_coding	GCA_000020985.1	Primary Assembly	chromosome		CP001147.1	596360	597571	+							THEYE_A0607	1212		
CDS	with_protein	GCA_000020985.1	Primary Assembly	chromosome		CP001147.1	596360	597571	+	ACI21717.1			transglycosylase, Slt family			THEYE_A0607	1212	403	
gene	protein_coding	GCA_000020985.1	Primary Assembly	chromosome		CP001147.1	597568	598170	-							THEYE_A0608	603		
CDS	with_protein	GCA_000020985.1	Primary Assembly	chromosome		CP001147.1	597568	598170	-	ACI20227.1			tetratricopeptide repeat domain protein			THEYE_A0608	603	200	
gene	protein_coding	GCA_000020985.1	Primary Assembly	chromosome		CP001147.1	598167	598817	-							THEYE_A0609	651		
CDS	with_protein	GCA_000020985.1	Primary Assembly	chromosome		CP001147.1	598167	598817	-	ACI20848.1			PHP domain protein			THEYE_A0609	651	216	
gene	protein_coding	GCA_000020985.1	Primary Assembly	chromosome		CP001147.1	598814	599374	-							THEYE_A0610	561		
CDS	with_protein	GCA_000020985.1	Primary Assembly	chromosome		CP001147.1	598814	599374	-	ACI20743.1			isochorismatase family protein			THEYE_A0610	561	186	
gene	protein_coding	GCA_000020985.1	Primary Assembly	chromosome		CP001147.1	599375	599749	-							THEYE_A0611	375		
CDS	with_protein	GCA_000020985.1	Primary Assembly	chromosome		CP001147.1	599375	599749	-	ACI21924.1			two-component response regulator			THEYE_A0611	375	124	
gene	protein_coding	GCA_000020985.1	Primary Assembly	chromosome		CP001147.1	599730	601592	-							THEYE_A0612	1863		
CDS	with_protein	GCA_000020985.1	Primary Assembly	chromosome		CP001147.1	599730	601592	-	ACI20307.1			two-component hybrid sensor and regulator			THEYE_A0612	1863	620	
gene	protein_coding	GCA_000020985.1	Primary Assembly	chromosome		CP001147.1	601589	602791	-							THEYE_A0613	1203		
CDS	with_protein	GCA_000020985.1	Primary Assembly	chromosome		CP001147.1	601589	602791	-	ACI21984.1			conserved hypothetical protein			THEYE_A0613	1203	400	
gene	protein_coding	GCA_000020985.1	Primary Assembly	chromosome		CP001147.1	602830	603054	-							THEYE_A0614	225		
CDS	with_protein	GCA_000020985.1	Primary Assembly	chromosome		CP001147.1	602830	603054	-	ACI21259.1			conserved protein			THEYE_A0614	225	74	
gene	protein_coding	GCA_000020985.1	Primary Assembly	chromosome		CP001147.1	603035	604861	-							THEYE_A0615	1827		
CDS	with_protein	GCA_000020985.1	Primary Assembly	chromosome		CP001147.1	603035	604861	-	ACI20309.1			CoB--CoM heterodisulfide reductase iron-sulfur subunit A 2, putative			THEYE_A0615	1827	608	
gene	protein_coding	GCA_000020985.1	Primary Assembly	chromosome		CP001147.1	604910	605137	-							THEYE_A0616	228		
CDS	with_protein	GCA_000020985.1	Primary Assembly	chromosome		CP001147.1	604910	605137	-	ACI20872.1			conserved domain protein			THEYE_A0616	228	75	
gene	protein_coding	GCA_000020985.1	Primary Assembly	chromosome		CP001147.1	605240	607024	+					aspS		THEYE_A0617	1785		
CDS	with_protein	GCA_000020985.1	Primary Assembly	chromosome		CP001147.1	605240	607024	+	ACI22121.1			aspartyl-tRNA synthetase	aspS		THEYE_A0617	1785	594	
gene	protein_coding	GCA_000020985.1	Primary Assembly	chromosome		CP001147.1	607038	607328	+							THEYE_A0618	291		
CDS	with_protein	GCA_000020985.1	Primary Assembly	chromosome		CP001147.1	607038	607328	+	ACI21928.1			hypothetical protein			THEYE_A0618	291	96	
gene	protein_coding	GCA_000020985.1	Primary Assembly	chromosome		CP001147.1	607325	608161	+							THEYE_A0619	837		
CDS	with_protein	GCA_000020985.1	Primary Assembly	chromosome		CP001147.1	607325	608161	+	ACI21071.1			HD domain protein			THEYE_A0619	837	278	
gene	protein_coding	GCA_000020985.1	Primary Assembly	chromosome		CP001147.1	608154	609083	+							THEYE_A0620	930		
CDS	with_protein	GCA_000020985.1	Primary Assembly	chromosome		CP001147.1	608154	609083	+	ACI20525.1			ggdef domain protein			THEYE_A0620	930	309	
gene	protein_coding	GCA_000020985.1	Primary Assembly	chromosome		CP001147.1	609080	609355	-							THEYE_A0621	276		
CDS	with_protein	GCA_000020985.1	Primary Assembly	chromosome		CP001147.1	609080	609355	-	ACI21699.1			conserved hypothetical protein			THEYE_A0621	276	91	
gene	protein_coding	GCA_000020985.1	Primary Assembly	chromosome		CP001147.1	609348	609554	-							THEYE_A0622	207		
CDS	with_protein	GCA_000020985.1	Primary Assembly	chromosome		CP001147.1	609348	609554	-	ACI20271.1			hypothetical protein			THEYE_A0622	207	68	
gene	protein_coding	GCA_000020985.1	Primary Assembly	chromosome		CP001147.1	609551	611461	-							THEYE_A0623	1911		
CDS	with_protein	GCA_000020985.1	Primary Assembly	chromosome		CP001147.1	609551	611461	-	ACI21688.1			soluble lytic murein transglycosylase			THEYE_A0623	1911	636	
gene	protein_coding	GCA_000020985.1	Primary Assembly	chromosome		CP001147.1	611468	612679	-					aroC		THEYE_A0624	1212		
CDS	with_protein	GCA_000020985.1	Primary Assembly	chromosome		CP001147.1	611468	612679	-	ACI21114.1			chorismate synthase	aroC		THEYE_A0624	1212	403	
gene	protein_coding	GCA_000020985.1	Primary Assembly	chromosome		CP001147.1	612730	613266	-							THEYE_A0625	537		
CDS	with_protein	GCA_000020985.1	Primary Assembly	chromosome		CP001147.1	612730	613266	-	ACI22038.1			flavin reductase domain protein			THEYE_A0625	537	178	
gene	protein_coding	GCA_000020985.1	Primary Assembly	chromosome		CP001147.1	613346	615157	+							THEYE_A0626	1812		
CDS	with_protein	GCA_000020985.1	Primary Assembly	chromosome		CP001147.1	613346	615157	+	ACI20695.1			metalloprotease FtsH			THEYE_A0626	1812	603	
gene	protein_coding	GCA_000020985.1	Primary Assembly	chromosome		CP001147.1	615154	615990	+					folP		THEYE_A0627	837		
CDS	with_protein	GCA_000020985.1	Primary Assembly	chromosome		CP001147.1	615154	615990	+	ACI20541.1			dihydropteroate synthase	folP		THEYE_A0627	837	278	
gene	protein_coding	GCA_000020985.1	Primary Assembly	chromosome		CP001147.1	615992	617608	-					argS		THEYE_A0628	1617		
CDS	with_protein	GCA_000020985.1	Primary Assembly	chromosome		CP001147.1	615992	617608	-	ACI21665.1			arginyl-tRNA synthetase	argS		THEYE_A0628	1617	538	
gene	protein_coding	GCA_000020985.1	Primary Assembly	chromosome		CP001147.1	617601	621512	-					purL		THEYE_A0629	3912		
CDS	with_protein	GCA_000020985.1	Primary Assembly	chromosome		CP001147.1	617601	621512	-	ACI20230.1			phosphoribosylformylglycinamidine synthase	purL		THEYE_A0629	3912	1303	
gene	protein_coding	GCA_000020985.1	Primary Assembly	chromosome		CP001147.1	621509	621907	-							THEYE_A0630	399		
CDS	with_protein	GCA_000020985.1	Primary Assembly	chromosome		CP001147.1	621509	621907	-	ACI21380.1			conserved hypothetical protein, putative			THEYE_A0630	399	132	
gene	protein_coding	GCA_000020985.1	Primary Assembly	chromosome		CP001147.1	621904	623175	-					rho		THEYE_A0631	1272		
CDS	with_protein	GCA_000020985.1	Primary Assembly	chromosome		CP001147.1	621904	623175	-	ACI21158.1			transcription termination factor Rho	rho		THEYE_A0631	1272	423	
gene	protein_coding	GCA_000020985.1	Primary Assembly	chromosome		CP001147.1	623754	624863	+							THEYE_A0632	1110		
CDS	with_protein	GCA_000020985.1	Primary Assembly	chromosome		CP001147.1	623754	624863	+	ACI21877.1			CRISPR-associated protein, NE0113 family			THEYE_A0632	1110	369	
gene	protein_coding	GCA_000020985.1	Primary Assembly	chromosome		CP001147.1	624968	627553	+					csm1_2		THEYE_A0633	2586		
CDS	with_protein	GCA_000020985.1	Primary Assembly	chromosome		CP001147.1	624968	627553	+	ACI20729.1			CRISPR-associated protein, Csm1 family	csm1_2		THEYE_A0633	2586	861	
gene	protein_coding	GCA_000020985.1	Primary Assembly	chromosome		CP001147.1	627550	627981	+					csm2_2		THEYE_A0634	432		
CDS	with_protein	GCA_000020985.1	Primary Assembly	chromosome		CP001147.1	627550	627981	+	ACI21973.1			CRISPR-associated protein, Csm2 family	csm2_2		THEYE_A0634	432	143	
gene	protein_coding	GCA_000020985.1	Primary Assembly	chromosome		CP001147.1	627985	628719	+					csm3_2		THEYE_A0635	735		
CDS	with_protein	GCA_000020985.1	Primary Assembly	chromosome		CP001147.1	627985	628719	+	ACI20776.1			CRISPR-associated RAMP protein, Csm3 family	csm3_2		THEYE_A0635	735	244	
gene	protein_coding	GCA_000020985.1	Primary Assembly	chromosome		CP001147.1	628723	629637	+							THEYE_A0636	915		
CDS	with_protein	GCA_000020985.1	Primary Assembly	chromosome		CP001147.1	628723	629637	+	ACI21655.1			CRISPR-associated protein, Csm4 family			THEYE_A0636	915	304	
gene	protein_coding	GCA_000020985.1	Primary Assembly	chromosome		CP001147.1	629639	630724	+					csm5_2		THEYE_A0637	1086		
CDS	with_protein	GCA_000020985.1	Primary Assembly	chromosome		CP001147.1	629639	630724	+	ACI21906.1			CRISPR-associated RAMP protein, Csm5 family	csm5_2		THEYE_A0637	1086	361	
gene	protein_coding	GCA_000020985.1	Primary Assembly	chromosome		CP001147.1	630726	631622	+					cas6_2		THEYE_A0638	897		
CDS	with_protein	GCA_000020985.1	Primary Assembly	chromosome		CP001147.1	630726	631622	+	ACI20974.1			CRISPR-associated protein Cas6	cas6_2		THEYE_A0638	897	298	
gene	protein_coding	GCA_000020985.1	Primary Assembly	chromosome		CP001147.1	634162	634512	+							THEYE_A0639	351		
CDS	with_protein	GCA_000020985.1	Primary Assembly	chromosome		CP001147.1	634162	634512	+	ACI22136.1			hypothetical protein			THEYE_A0639	351	116	
gene	protein_coding	GCA_000020985.1	Primary Assembly	chromosome		CP001147.1	634544	636166	+							THEYE_A0640	1623		
CDS	with_protein	GCA_000020985.1	Primary Assembly	chromosome		CP001147.1	634544	636166	+	ACI21391.1			swi/snf family helicase_2			THEYE_A0640	1623	540	
gene	protein_coding	GCA_000020985.1	Primary Assembly	chromosome		CP001147.1	636316	637479	+							THEYE_A0641	1164		
CDS	with_protein	GCA_000020985.1	Primary Assembly	chromosome		CP001147.1	636316	637479	+	ACI20535.1			exonuclease SbcD			THEYE_A0641	1164	387	
gene	protein_coding	GCA_000020985.1	Primary Assembly	chromosome		CP001147.1	637466	640561	+							THEYE_A0642	3096		
CDS	with_protein	GCA_000020985.1	Primary Assembly	chromosome		CP001147.1	637466	640561	+	ACI21622.1			ATPase involved in DNA repair, putative			THEYE_A0642	3096	1031	
gene	protein_coding	GCA_000020985.1	Primary Assembly	chromosome		CP001147.1	640571	640849	+					cas2_1		THEYE_A0643	279		
CDS	with_protein	GCA_000020985.1	Primary Assembly	chromosome		CP001147.1	640571	640849	+	ACI20463.1			CRISPR-associated protein Cas2	cas2_1		THEYE_A0643	279	92	
gene	protein_coding	GCA_000020985.1	Primary Assembly	chromosome		CP001147.1	640854	641810	+							THEYE_A0644	957		
CDS	with_protein	GCA_000020985.1	Primary Assembly	chromosome		CP001147.1	640854	641810	+	ACI21534.1			crispr-associated protein Cas1			THEYE_A0644	957	318	
gene	protein_coding	GCA_000020985.1	Primary Assembly	chromosome		CP001147.1	641767	642585	+							THEYE_A0645	819		
CDS	with_protein	GCA_000020985.1	Primary Assembly	chromosome		CP001147.1	641767	642585	+	ACI22190.1			hypothetical protein			THEYE_A0645	819	272	
gene	protein_coding	GCA_000020985.1	Primary Assembly	chromosome		CP001147.1	642582	642857	+					cas2_2		THEYE_A0646	276		
CDS	with_protein	GCA_000020985.1	Primary Assembly	chromosome		CP001147.1	642582	642857	+	ACI21288.1			CRISPR-associated protein Cas2	cas2_2		THEYE_A0646	276	91	
gene	tRNA	GCA_000020985.1	Primary Assembly	chromosome		CP001147.1	643012	643089	-							THEYE_A0647	78		
tRNA		GCA_000020985.1	Primary Assembly	chromosome		CP001147.1	643012	643089	-				tRNA-Lys			THEYE_A0647	78		
gene	protein_coding	GCA_000020985.1	Primary Assembly	chromosome		CP001147.1	643178	643651	+							THEYE_A0648	474		
CDS	with_protein	GCA_000020985.1	Primary Assembly	chromosome		CP001147.1	643178	643651	+	ACI20940.1			methylated-DNA--protein-cysteine methyltransferase			THEYE_A0648	474	157	
gene	protein_coding	GCA_000020985.1	Primary Assembly	chromosome		CP001147.1	643659	644396	+							THEYE_A0649	738		
CDS	with_protein	GCA_000020985.1	Primary Assembly	chromosome		CP001147.1	643659	644396	+	ACI20784.1			intermediate filament protein:ATP/GTP-binding site motif A (P-loop):AAA ATPase			THEYE_A0649	738	245	
gene	protein_coding	GCA_000020985.1	Primary Assembly	chromosome		CP001147.1	644376	645890	-					leuA		THEYE_A0650	1515		
CDS	with_protein	GCA_000020985.1	Primary Assembly	chromosome		CP001147.1	644376	645890	-	ACI22101.1			2-isopropylmalate synthase	leuA		THEYE_A0650	1515	504	
gene	protein_coding	GCA_000020985.1	Primary Assembly	chromosome		CP001147.1	645868	646653	-							THEYE_A0651	786		
CDS	with_protein	GCA_000020985.1	Primary Assembly	chromosome		CP001147.1	645868	646653	-	ACI21855.1			CDP-diacylglycerol--serine O-phosphatidyltransferase			THEYE_A0651	786	261	
gene	protein_coding	GCA_000020985.1	Primary Assembly	chromosome		CP001147.1	646659	647276	-							THEYE_A0652	618		
CDS	with_protein	GCA_000020985.1	Primary Assembly	chromosome		CP001147.1	646659	647276	-	ACI21255.1			putative phosphatidylserine decarboxylase			THEYE_A0652	618	205	
gene	protein_coding	GCA_000020985.1	Primary Assembly	chromosome		CP001147.1	647273	648286	-					ilvC		THEYE_A0653	1014		
CDS	with_protein	GCA_000020985.1	Primary Assembly	chromosome		CP001147.1	647273	648286	-	ACI21099.1			ketol-acid reductoisomerase	ilvC		THEYE_A0653	1014	337	
gene	protein_coding	GCA_000020985.1	Primary Assembly	chromosome		CP001147.1	648417	651164	+					ileS		THEYE_A0654	2748		
CDS	with_protein	GCA_000020985.1	Primary Assembly	chromosome		CP001147.1	648417	651164	+	ACI21479.1			isoleucyl-tRNA synthetase	ileS		THEYE_A0654	2748	915	
gene	protein_coding	GCA_000020985.1	Primary Assembly	chromosome		CP001147.1	651145	651588	+					lspA		THEYE_A0655	444		
CDS	with_protein	GCA_000020985.1	Primary Assembly	chromosome		CP001147.1	651145	651588	+	ACI21609.1			signal peptidase II	lspA		THEYE_A0655	444	147	
gene	protein_coding	GCA_000020985.1	Primary Assembly	chromosome		CP001147.1	651585	651992	+							THEYE_A0656	408		
CDS	with_protein	GCA_000020985.1	Primary Assembly	chromosome		CP001147.1	651585	651992	+	ACI20856.1			conserved hypothetical protein			THEYE_A0656	408	135	
gene	protein_coding	GCA_000020985.1	Primary Assembly	chromosome		CP001147.1	651993	652844	+							THEYE_A0657	852		
CDS	with_protein	GCA_000020985.1	Primary Assembly	chromosome		CP001147.1	651993	652844	+	ACI21736.1			probable inorganic polyphosphate/ATP-NAD kinase (Poly(P)/ATP NAD kinase)			THEYE_A0657	852	283	
gene	protein_coding	GCA_000020985.1	Primary Assembly	chromosome		CP001147.1	652829	653542	+							THEYE_A0658	714		
CDS	with_protein	GCA_000020985.1	Primary Assembly	chromosome		CP001147.1	652829	653542	+	ACI21138.1			uracil-DNA glycosylase, family 4			THEYE_A0658	714	237	
gene	protein_coding	GCA_000020985.1	Primary Assembly	chromosome		CP001147.1	653539	654024	+							THEYE_A0659	486		
CDS	with_protein	GCA_000020985.1	Primary Assembly	chromosome		CP001147.1	653539	654024	+	ACI21392.1			hit histidine triad protein			THEYE_A0659	486	161	
gene	protein_coding	GCA_000020985.1	Primary Assembly	chromosome		CP001147.1	654024	654629	+					gmhA		THEYE_A0660	606		
CDS	with_protein	GCA_000020985.1	Primary Assembly	chromosome		CP001147.1	654024	654629	+	ACI21791.1			phosphoheptose isomerase	gmhA		THEYE_A0660	606	201	
gene	protein_coding	GCA_000020985.1	Primary Assembly	chromosome		CP001147.1	654626	655096	+					ruvC		THEYE_A0661	471		
CDS	with_protein	GCA_000020985.1	Primary Assembly	chromosome		CP001147.1	654626	655096	+	ACI20623.1			crossover junction endodeoxyribonuclease RuvC	ruvC		THEYE_A0661	471	156	
gene	protein_coding	GCA_000020985.1	Primary Assembly	chromosome		CP001147.1	655176	656090	+							THEYE_A0662	915		
CDS	with_protein	GCA_000020985.1	Primary Assembly	chromosome		CP001147.1	655176	656090	+	ACI20904.1			acetoin utilization protein			THEYE_A0662	915	304	
gene	protein_coding	GCA_000020985.1	Primary Assembly	chromosome		CP001147.1	656087	656509	-							THEYE_A0663	423		
CDS	with_protein	GCA_000020985.1	Primary Assembly	chromosome		CP001147.1	656087	656509	-	ACI21795.1			conserved hypothetical protein			THEYE_A0663	423	140	
gene	protein_coding	GCA_000020985.1	Primary Assembly	chromosome		CP001147.1	656506	657738	-							THEYE_A0664	1233		
CDS	with_protein	GCA_000020985.1	Primary Assembly	chromosome		CP001147.1	656506	657738	-	ACI21453.1			methyl-accepting chemotaxis protein			THEYE_A0664	1233	410	
gene	protein_coding	GCA_000020985.1	Primary Assembly	chromosome		CP001147.1	657784	659907	-							THEYE_A0665	2124		
CDS	with_protein	GCA_000020985.1	Primary Assembly	chromosome		CP001147.1	657784	659907	-	ACI20326.1			iron-sulfur cluster-binding protein			THEYE_A0665	2124	707	
gene	protein_coding	GCA_000020985.1	Primary Assembly	chromosome		CP001147.1	659918	660454	-							THEYE_A0666	537		
CDS	with_protein	GCA_000020985.1	Primary Assembly	chromosome		CP001147.1	659918	660454	-	ACI21254.1			YvbY			THEYE_A0666	537	178	
gene	protein_coding	GCA_000020985.1	Primary Assembly	chromosome		CP001147.1	660447	661763	-							THEYE_A0667	1317		
CDS	with_protein	GCA_000020985.1	Primary Assembly	chromosome		CP001147.1	660447	661763	-	ACI20545.1			iron-sulfur cluster-binding protein			THEYE_A0667	1317	438	
gene	protein_coding	GCA_000020985.1	Primary Assembly	chromosome		CP001147.1	661765	663156	-							THEYE_A0668	1392		
CDS	with_protein	GCA_000020985.1	Primary Assembly	chromosome		CP001147.1	661765	663156	-	ACI20606.1			glycolate oxidase subunit			THEYE_A0668	1392	463	
gene	protein_coding	GCA_000020985.1	Primary Assembly	chromosome		CP001147.1	663153	664919	-							THEYE_A0669	1767		
CDS	with_protein	GCA_000020985.1	Primary Assembly	chromosome		CP001147.1	663153	664919	-	ACI21502.1			glycolate permease GlcA			THEYE_A0669	1767	588	
gene	protein_coding	GCA_000020985.1	Primary Assembly	chromosome		CP001147.1	665016	665915	-					argF		THEYE_A0670	900		
CDS	with_protein	GCA_000020985.1	Primary Assembly	chromosome		CP001147.1	665016	665915	-	ACI20843.1			ornithine carbamoyltransferase	argF		THEYE_A0670	900	299	
gene	protein_coding	GCA_000020985.1	Primary Assembly	chromosome		CP001147.1	665912	667117	-							THEYE_A0671	1206		
CDS	with_protein	GCA_000020985.1	Primary Assembly	chromosome		CP001147.1	665912	667117	-	ACI21758.1			acetylornithine aminotransferase			THEYE_A0671	1206	401	
gene	protein_coding	GCA_000020985.1	Primary Assembly	chromosome		CP001147.1	667283	667834	+							THEYE_A0672	552		
CDS	with_protein	GCA_000020985.1	Primary Assembly	chromosome		CP001147.1	667283	667834	+	ACI21838.1			5,10-methenyltetrahydrofolate synthetase			THEYE_A0672	552	183	
gene	protein_coding	GCA_000020985.1	Primary Assembly	chromosome		CP001147.1	667827	668393	+					folE		THEYE_A0673	567		
CDS	with_protein	GCA_000020985.1	Primary Assembly	chromosome		CP001147.1	667827	668393	+	ACI21058.1			GTP cyclohydrolase I	folE		THEYE_A0673	567	188	
gene	protein_coding	GCA_000020985.1	Primary Assembly	chromosome		CP001147.1	668394	669254	+							THEYE_A0674	861		
CDS	with_protein	GCA_000020985.1	Primary Assembly	chromosome		CP001147.1	668394	669254	+	ACI20383.1			FolD bifunctional protein			THEYE_A0674	861	286	
gene	protein_coding	GCA_000020985.1	Primary Assembly	chromosome		CP001147.1	669251	669898	+							THEYE_A0675	648		
CDS	with_protein	GCA_000020985.1	Primary Assembly	chromosome		CP001147.1	669251	669898	+	ACI21621.1			conserved hypothetical protein			THEYE_A0675	648	215	
gene	protein_coding	GCA_000020985.1	Primary Assembly	chromosome		CP001147.1	669901	670788	+							THEYE_A0676	888		
CDS	with_protein	GCA_000020985.1	Primary Assembly	chromosome		CP001147.1	669901	670788	+	ACI20475.1			methylenetetrahydrofolate reductase family protein			THEYE_A0676	888	295	
gene	protein_coding	GCA_000020985.1	Primary Assembly	chromosome		CP001147.1	670789	672495	+					pilB1		THEYE_A0677	1707		
CDS	with_protein	GCA_000020985.1	Primary Assembly	chromosome		CP001147.1	670789	672495	+	ACI21294.1			type IV-A pilus assembly ATPase PilB	pilB1		THEYE_A0677	1707	568	
gene	protein_coding	GCA_000020985.1	Primary Assembly	chromosome		CP001147.1	672497	674074	+					nadB		THEYE_A0678	1578		
CDS	with_protein	GCA_000020985.1	Primary Assembly	chromosome		CP001147.1	672497	674074	+	ACI20663.1			L-aspartate oxidase	nadB		THEYE_A0678	1578	525	
gene	protein_coding	GCA_000020985.1	Primary Assembly	chromosome		CP001147.1	674086	675504	+					pyk		THEYE_A0679	1419		
CDS	with_protein	GCA_000020985.1	Primary Assembly	chromosome		CP001147.1	674086	675504	+	ACI22014.1			pyruvate kinase	pyk		THEYE_A0679	1419	472	
gene	protein_coding	GCA_000020985.1	Primary Assembly	chromosome		CP001147.1	675499	676407	-							THEYE_A0680	909		
CDS	with_protein	GCA_000020985.1	Primary Assembly	chromosome		CP001147.1	675499	676407	-	ACI21119.1			transcriptional regulator			THEYE_A0680	909	302	
gene	protein_coding	GCA_000020985.1	Primary Assembly	chromosome		CP001147.1	676528	676791	+							THEYE_A0681	264		
CDS	with_protein	GCA_000020985.1	Primary Assembly	chromosome		CP001147.1	676528	676791	+	ACI21754.1			conserved protein			THEYE_A0681	264	87	
gene	protein_coding	GCA_000020985.1	Primary Assembly	chromosome		CP001147.1	676805	676987	+							THEYE_A0682	183		
CDS	with_protein	GCA_000020985.1	Primary Assembly	chromosome		CP001147.1	676805	676987	+	ACI20821.1			putative regulatory protein, FmdB family			THEYE_A0682	183	60	
gene	protein_coding	GCA_000020985.1	Primary Assembly	chromosome		CP001147.1	677028	678005	+							THEYE_A0683	978		
CDS	with_protein	GCA_000020985.1	Primary Assembly	chromosome		CP001147.1	677028	678005	+	ACI20523.1			iron-sulfur protein			THEYE_A0683	978	325	
gene	protein_coding	GCA_000020985.1	Primary Assembly	chromosome		CP001147.1	677995	678651	+							THEYE_A0684	657		
CDS	with_protein	GCA_000020985.1	Primary Assembly	chromosome		CP001147.1	677995	678651	+	ACI21614.1			lipoprotein, putative			THEYE_A0684	657	218	
gene	protein_coding	GCA_000020985.1	Primary Assembly	chromosome		CP001147.1	678763	679008	-							THEYE_A0685	246		
CDS	with_protein	GCA_000020985.1	Primary Assembly	chromosome		CP001147.1	678763	679008	-	ACI22016.1			hypothetical protein			THEYE_A0685	246	81	
gene	protein_coding	GCA_000020985.1	Primary Assembly	chromosome		CP001147.1	679117	679887	-							THEYE_A0686	771		
CDS	with_protein	GCA_000020985.1	Primary Assembly	chromosome		CP001147.1	679117	679887	-	ACI21083.1			NAD-dependent deacetylase			THEYE_A0686	771	256	
gene	protein_coding	GCA_000020985.1	Primary Assembly	chromosome		CP001147.1	679929	681944	-					uvrB		THEYE_A0687	2016		
CDS	with_protein	GCA_000020985.1	Primary Assembly	chromosome		CP001147.1	679929	681944	-	ACI21236.1			excinuclease ABC, B subunit	uvrB		THEYE_A0687	2016	671	
gene	protein_coding	GCA_000020985.1	Primary Assembly	chromosome		CP001147.1	681955	682287	-							THEYE_A0688	333		
CDS	with_protein	GCA_000020985.1	Primary Assembly	chromosome		CP001147.1	681955	682287	-	ACI20374.1			nucleotidyltransferase			THEYE_A0688	333	110	
gene	protein_coding	GCA_000020985.1	Primary Assembly	chromosome		CP001147.1	682284	682577	-							THEYE_A0689	294		
CDS	with_protein	GCA_000020985.1	Primary Assembly	chromosome		CP001147.1	682284	682577	-	ACI20662.1			nucleotidyltransferase			THEYE_A0689	294	97	
gene	protein_coding	GCA_000020985.1	Primary Assembly	chromosome		CP001147.1	682583	683551	-					hemB		THEYE_A0690	969		
CDS	with_protein	GCA_000020985.1	Primary Assembly	chromosome		CP001147.1	682583	683551	-	ACI21349.1			delta-aminolevulinic acid dehydratase	hemB		THEYE_A0690	969	322	
gene	protein_coding	GCA_000020985.1	Primary Assembly	chromosome		CP001147.1	683555	683875	-							THEYE_A0691	321		
CDS	with_protein	GCA_000020985.1	Primary Assembly	chromosome		CP001147.1	683555	683875	-	ACI20920.1			HesB/YadR/YfhF family protein			THEYE_A0691	321	106	
gene	protein_coding	GCA_000020985.1	Primary Assembly	chromosome		CP001147.1	683965	684726	+					fdhD		THEYE_A0692	762		
CDS	with_protein	GCA_000020985.1	Primary Assembly	chromosome		CP001147.1	683965	684726	+	ACI22108.1			formate dehydrogenase family accessory protein FdhD	fdhD		THEYE_A0692	762	253	
gene	protein_coding	GCA_000020985.1	Primary Assembly	chromosome		CP001147.1	684723	685355	-					nth		THEYE_A0693	633		
CDS	with_protein	GCA_000020985.1	Primary Assembly	chromosome		CP001147.1	684723	685355	-	ACI21492.1			endonuclease III	nth		THEYE_A0693	633	210	
gene	protein_coding	GCA_000020985.1	Primary Assembly	chromosome		CP001147.1	685357	686373	-							THEYE_A0694	1017		
CDS	with_protein	GCA_000020985.1	Primary Assembly	chromosome		CP001147.1	685357	686373	-	ACI21412.1			alcohol dehydrogenase			THEYE_A0694	1017	338	
gene	protein_coding	GCA_000020985.1	Primary Assembly	chromosome		CP001147.1	686547	687305	+							THEYE_A0695	759		
CDS	with_protein	GCA_000020985.1	Primary Assembly	chromosome		CP001147.1	686547	687305	+	ACI21896.1			diguanylate cyclase			THEYE_A0695	759	252	
gene	protein_coding	GCA_000020985.1	Primary Assembly	chromosome		CP001147.1	687302	689374	-					recG		THEYE_A0696	2073		
CDS	with_protein	GCA_000020985.1	Primary Assembly	chromosome		CP001147.1	687302	689374	-	ACI20683.1			ATP-dependent DNA helicase RecG	recG		THEYE_A0696	2073	690	
gene	protein_coding	GCA_000020985.1	Primary Assembly	chromosome		CP001147.1	689380	690477	-					nusA		THEYE_A0697	1098		
CDS	with_protein	GCA_000020985.1	Primary Assembly	chromosome		CP001147.1	689380	690477	-	ACI21462.1			transcription termination factor NusA	nusA		THEYE_A0697	1098	365	
gene	protein_coding	GCA_000020985.1	Primary Assembly	chromosome		CP001147.1	690482	690976	-							THEYE_A0698	495		
CDS	with_protein	GCA_000020985.1	Primary Assembly	chromosome		CP001147.1	690482	690976	-	ACI20661.1			YlxS			THEYE_A0698	495	164	
gene	protein_coding	GCA_000020985.1	Primary Assembly	chromosome		CP001147.1	691103	691345	-							THEYE_A0699	243		
CDS	with_protein	GCA_000020985.1	Primary Assembly	chromosome		CP001147.1	691103	691345	-	ACI21320.1			lipoprotein, putative			THEYE_A0699	243	80	
