# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCF_000011125.1	Primary Assembly	chromosome		NC_000854.2	196170	196424	+						1444494	APE_RS00980	255		old_locus_tag=APE_0266a.1,APES007
CDS	with_protein	GCF_000011125.1	Primary Assembly	chromosome		NC_000854.2	196170	196424	+	WP_010865618.1	WP_010865618.1		DUF131 domain-containing protein		1444494	APE_RS00980	255	84	
gene	protein_coding	GCF_000011125.1	Primary Assembly	chromosome		NC_000854.2	196429	196611	-						1444495	APE_RS00985	183		old_locus_tag=APE_0266b,APES008
CDS	with_protein	GCF_000011125.1	Primary Assembly	chromosome		NC_000854.2	196429	196611	-	WP_010865619.1	WP_010865619.1		hypothetical protein		1444495	APE_RS00985	183	60	
gene	protein_coding	GCF_000011125.1	Primary Assembly	chromosome		NC_000854.2	196677	197459	-						1444496	APE_RS00990	783		old_locus_tag=APE0270,APE_0270.1
CDS	with_protein	GCF_000011125.1	Primary Assembly	chromosome		NC_000854.2	196677	197459	-	WP_148678866.1	WP_148678866.1		ABC transporter permease subunit		1444496	APE_RS00990	783	260	
gene	protein_coding	GCF_000011125.1	Primary Assembly	chromosome		NC_000854.2	197456	198169	-					modA	1444497	APE_RS00995	714		old_locus_tag=APE0272,APE_0272.1
CDS	with_protein	GCF_000011125.1	Primary Assembly	chromosome		NC_000854.2	197456	198169	-	WP_148678867.1	WP_148678867.1		molybdate ABC transporter substrate-binding protein	modA	1444497	APE_RS00995	714	237	
gene	tRNA	GCF_000011125.1	Primary Assembly	chromosome		NC_000854.2	198449	198526	+						1444498	APE_RS01000	78		old_locus_tag=APE_tRNA04,APEtRNA04
tRNA		GCF_000011125.1	Primary Assembly	chromosome		NC_000854.2	198449	198526	+				tRNA-Arg		1444498	APE_RS01000	78		anticodon=CCG
gene	protein_coding	GCF_000011125.1	Primary Assembly	chromosome		NC_000854.2	198657	199091	-						1444499	APE_RS01005	435		old_locus_tag=APE0273,APE_0273
CDS	with_protein	GCF_000011125.1	Primary Assembly	chromosome		NC_000854.2	198657	199091	-	WP_010865622.1	WP_010865622.1		PIN domain-containing protein		1444499	APE_RS01005	435	144	
gene	protein_coding	GCF_000011125.1	Primary Assembly	chromosome		NC_000854.2	199069	199290	-						4525209	APE_RS01010	222		old_locus_tag=APE_0273a
CDS	with_protein	GCF_000011125.1	Primary Assembly	chromosome		NC_000854.2	199069	199290	-	WP_010865623.1	WP_010865623.1		antitoxin family protein		4525209	APE_RS01010	222	73	
gene	protein_coding	GCF_000011125.1	Primary Assembly	chromosome		NC_000854.2	199327	199677	-						1444500	APE_RS01015	351		old_locus_tag=APE0274,APE_0274
CDS	with_protein	GCF_000011125.1	Primary Assembly	chromosome		NC_000854.2	199327	199677	-	WP_010865624.1	WP_010865624.1		hypothetical protein		1444500	APE_RS01015	351	116	
gene	protein_coding	GCF_000011125.1	Primary Assembly	chromosome		NC_000854.2	199916	200131	-						1445542	APE_RS01020	216		old_locus_tag=APE_0274a
CDS	with_protein	GCF_000011125.1	Primary Assembly	chromosome		NC_000854.2	199916	200131	-	WP_010865625.1	WP_010865625.1		hypothetical protein		1445542	APE_RS01020	216	71	
gene	protein_coding	GCF_000011125.1	Primary Assembly	chromosome		NC_000854.2	200447	200635	-						41583223	APE_RS01025	189		
CDS	with_protein	GCF_000011125.1	Primary Assembly	chromosome		NC_000854.2	200447	200635	-	WP_148679244.1	WP_148679244.1		PIN domain-containing protein		41583223	APE_RS01025	189	62	
gene	protein_coding	GCF_000011125.1	Primary Assembly	chromosome		NC_000854.2	200817	201218	-						1444501	APE_RS01030	402		old_locus_tag=APE0275,APE_0275.1
CDS	with_protein	GCF_000011125.1	Primary Assembly	chromosome		NC_000854.2	200817	201218	-	WP_010865626.1	WP_010865626.1		DNA-3-methyladenine glycosylase 2 family protein		1444501	APE_RS01030	402	133	
gene	protein_coding	GCF_000011125.1	Primary Assembly	chromosome		NC_000854.2	201692	201928	-						41583224	APE_RS01035	237		
CDS	with_protein	GCF_000011125.1	Primary Assembly	chromosome		NC_000854.2	201692	201928	-	WP_148678869.1	WP_148678869.1		DUF4258 domain-containing protein		41583224	APE_RS01035	237	78	
gene	protein_coding	GCF_000011125.1	Primary Assembly	chromosome		NC_000854.2	201925	202140	-						4525210	APE_RS01040	216		old_locus_tag=APE_0275a
CDS	with_protein	GCF_000011125.1	Primary Assembly	chromosome		NC_000854.2	201925	202140	-	WP_148679245.1	WP_148679245.1		DUF2283 domain-containing protein		4525210	APE_RS01040	216	71	
gene	protein_coding	GCF_000011125.1	Primary Assembly	chromosome		NC_000854.2	202422	202748	-						1444502	APE_RS01045	327		old_locus_tag=APE_0275b.1,APES009
CDS	with_protein	GCF_000011125.1	Primary Assembly	chromosome		NC_000854.2	202422	202748	-	WP_010865628.1	WP_010865628.1		hypothetical protein		1444502	APE_RS01045	327	108	
gene	protein_coding	GCF_000011125.1	Primary Assembly	chromosome		NC_000854.2	203152	203670	-						1444503	APE_RS01050	519		old_locus_tag=APE0276,APE_0276.1
CDS	with_protein	GCF_000011125.1	Primary Assembly	chromosome		NC_000854.2	203152	203670	-	WP_010865629.1	WP_010865629.1		DUF3368 domain-containing protein		1444503	APE_RS01050	519	172	
gene	protein_coding	GCF_000011125.1	Primary Assembly	chromosome		NC_000854.2	203657	203926	-						4525211	APE_RS01055	270		old_locus_tag=APE_0276a
CDS	with_protein	GCF_000011125.1	Primary Assembly	chromosome		NC_000854.2	203657	203926	-	WP_010865630.1	WP_010865630.1		UPF0175 family protein		4525211	APE_RS01055	270	89	
gene	protein_coding	GCF_000011125.1	Primary Assembly	chromosome		NC_000854.2	204280	204756	-						1444505	APE_RS01060	477		old_locus_tag=APE0278,APE_0278
CDS	with_protein	GCF_000011125.1	Primary Assembly	chromosome		NC_000854.2	204280	204756	-	WP_010865631.1	WP_010865631.1		PIN domain-containing protein		1444505	APE_RS01060	477	158	
gene	protein_coding	GCF_000011125.1	Primary Assembly	chromosome		NC_000854.2	204720	204920	-						4525212	APE_RS01065	201		old_locus_tag=APE_0278a
CDS	with_protein	GCF_000011125.1	Primary Assembly	chromosome		NC_000854.2	204720	204920	-	WP_010865632.1	WP_010865632.1		hypothetical protein		4525212	APE_RS01065	201	66	
gene	protein_coding	GCF_000011125.1	Primary Assembly	chromosome		NC_000854.2	205301	205759	-						1444506	APE_RS01070	459		old_locus_tag=APE0279,APE_0279.1
CDS	with_protein	GCF_000011125.1	Primary Assembly	chromosome		NC_000854.2	205301	205759	-	WP_010865633.1	WP_010865633.1		type II toxin-antitoxin system VapC family toxin		1444506	APE_RS01070	459	152	
gene	protein_coding	GCF_000011125.1	Primary Assembly	chromosome		NC_000854.2	205752	205952	-						1444507	APE_RS01075	201		old_locus_tag=APE_0279a.1,APES010
CDS	with_protein	GCF_000011125.1	Primary Assembly	chromosome		NC_000854.2	205752	205952	-	WP_010865634.1	WP_010865634.1		antitoxin family protein		1444507	APE_RS01075	201	66	
gene	protein_coding	GCF_000011125.1	Primary Assembly	chromosome		NC_000854.2	206616	206861	+						41583225	APE_RS01080	246		
CDS	with_protein	GCF_000011125.1	Primary Assembly	chromosome		NC_000854.2	206616	206861	+	WP_148678870.1	WP_148678870.1		hypothetical protein		41583225	APE_RS01080	246	81	
gene	protein_coding	GCF_000011125.1	Primary Assembly	chromosome		NC_000854.2	206858	208840	+						1444510	APE_RS01085	1983		old_locus_tag=APE0283,APE_0283.1
CDS	with_protein	GCF_000011125.1	Primary Assembly	chromosome		NC_000854.2	206858	208840	+	WP_010865635.1	WP_010865635.1		hypothetical protein		1444510	APE_RS01085	1983	660	
gene	protein_coding	GCF_000011125.1	Primary Assembly	chromosome		NC_000854.2	209347	209457	-						4525213	APE_RS01090	111		old_locus_tag=APE_0283a
CDS	with_protein	GCF_000011125.1	Primary Assembly	chromosome		NC_000854.2	209347	209457	-	WP_148679246.1	WP_148679246.1		DUF104 domain-containing protein		4525213	APE_RS01090	111	36	
gene	protein_coding	GCF_000011125.1	Primary Assembly	chromosome		NC_000854.2	209991	210578	+						1444514	APE_RS01095	588		old_locus_tag=APE0287,APE_0287
CDS	with_protein	GCF_000011125.1	Primary Assembly	chromosome		NC_000854.2	209991	210578	+	WP_010865637.1	WP_010865637.1		protogloblin ApPgb		1444514	APE_RS01095	588	195	
gene	protein_coding	GCF_000011125.1	Primary Assembly	chromosome		NC_000854.2	210667	211257	+						1444515	APE_RS01100	591		old_locus_tag=APE0288,APE_0288
CDS	with_protein	GCF_000011125.1	Primary Assembly	chromosome		NC_000854.2	210667	211257	+	WP_010865638.1	WP_010865638.1		MarR family transcriptional regulator		1444515	APE_RS01100	591	196	
gene	protein_coding	GCF_000011125.1	Primary Assembly	chromosome		NC_000854.2	211409	211954	-						1444516	APE_RS01105	546		old_locus_tag=APE0290,APE_0290.1
CDS	with_protein	GCF_000011125.1	Primary Assembly	chromosome		NC_000854.2	211409	211954	-	WP_010865639.1	WP_010865639.1		winged helix-turn-helix transcriptional regulator		1444516	APE_RS01105	546	181	
gene	pseudogene	GCF_000011125.1	Primary Assembly	chromosome		NC_000854.2	212077	212566	-						1444517	APE_RS01110	490		pseudo;old_locus_tag=APE0291,APE_0291
CDS	without_protein	GCF_000011125.1	Primary Assembly	chromosome		NC_000854.2	212077	212566	-				peroxiredoxin		1444517	APE_RS01110	490		pseudo
gene	protein_coding	GCF_000011125.1	Primary Assembly	chromosome		NC_000854.2	212733	213011	-						4525306	APE_RS01115	279		old_locus_tag=APE_0291a
CDS	with_protein	GCF_000011125.1	Primary Assembly	chromosome		NC_000854.2	212733	213011	-	WP_010865642.1	WP_010865642.1		hypothetical protein		4525306	APE_RS01115	279	92	
gene	protein_coding	GCF_000011125.1	Primary Assembly	chromosome		NC_000854.2	213008	213226	-						1444519	APE_RS01120	219		old_locus_tag=APE0293,APE_0293
CDS	with_protein	GCF_000011125.1	Primary Assembly	chromosome		NC_000854.2	213008	213226	-	WP_148679247.1	WP_148679247.1		ArsR family transcriptional regulator		1444519	APE_RS01120	219	72	
gene	protein_coding	GCF_000011125.1	Primary Assembly	chromosome		NC_000854.2	213569	214009	+						1444520	APE_RS01125	441		old_locus_tag=APE0294,APE_0294.1
CDS	with_protein	GCF_000011125.1	Primary Assembly	chromosome		NC_000854.2	213569	214009	+	WP_010865644.1	WP_010865644.1		hypothetical protein		1444520	APE_RS01125	441	146	
gene	protein_coding	GCF_000011125.1	Primary Assembly	chromosome		NC_000854.2	214107	214838	-						1444521	APE_RS01130	732		old_locus_tag=APE0295,APE_0295
CDS	with_protein	GCF_000011125.1	Primary Assembly	chromosome		NC_000854.2	214107	214838	-	WP_010865645.1	WP_010865645.1		hypothetical protein		1444521	APE_RS01130	732	243	
gene	protein_coding	GCF_000011125.1	Primary Assembly	chromosome		NC_000854.2	214835	215152	-						4525307	APE_RS01135	318		old_locus_tag=APE_0295a
CDS	with_protein	GCF_000011125.1	Primary Assembly	chromosome		NC_000854.2	214835	215152	-	WP_010865646.1	WP_010865646.1		hypothetical protein		4525307	APE_RS01135	318	105	
gene	protein_coding	GCF_000011125.1	Primary Assembly	chromosome		NC_000854.2	215139	215558	-						1444523	APE_RS01140	420		old_locus_tag=APE0297,APE_0297
CDS	with_protein	GCF_000011125.1	Primary Assembly	chromosome		NC_000854.2	215139	215558	-	WP_010865647.1	WP_010865647.1		hypothetical protein		1444523	APE_RS01140	420	139	
gene	protein_coding	GCF_000011125.1	Primary Assembly	chromosome		NC_000854.2	215617	216021	-						1444525	APE_RS01145	405		old_locus_tag=APE0299,APE_0299.1
CDS	with_protein	GCF_000011125.1	Primary Assembly	chromosome		NC_000854.2	215617	216021	-	WP_010865648.1	WP_010865648.1		hypothetical protein		1444525	APE_RS01145	405	134	
gene	protein_coding	GCF_000011125.1	Primary Assembly	chromosome		NC_000854.2	216356	217618	-						1444526	APE_RS01150	1263		old_locus_tag=APE0300,APE_0300.1
CDS	with_protein	GCF_000011125.1	Primary Assembly	chromosome		NC_000854.2	216356	217618	-	WP_148678872.1	WP_148678872.1		ATP-binding cassette domain-containing protein		1444526	APE_RS01150	1263	420	
gene	protein_coding	GCF_000011125.1	Primary Assembly	chromosome		NC_000854.2	217622	218590	-						1444527	APE_RS01155	969		old_locus_tag=APE0301,APE_0301.1
CDS	with_protein	GCF_000011125.1	Primary Assembly	chromosome		NC_000854.2	217622	218590	-	WP_010865650.1	WP_010865650.1		ABC transporter ATP-binding protein		1444527	APE_RS01155	969	322	
gene	protein_coding	GCF_000011125.1	Primary Assembly	chromosome		NC_000854.2	218587	219513	-						1444528	APE_RS01160	927		old_locus_tag=APE0302,APE_0302.1
CDS	with_protein	GCF_000011125.1	Primary Assembly	chromosome		NC_000854.2	218587	219513	-	WP_148678873.1	WP_148678873.1		ABC transporter permease subunit		1444528	APE_RS01160	927	308	
gene	protein_coding	GCF_000011125.1	Primary Assembly	chromosome		NC_000854.2	219506	220534	-						1444529	APE_RS01165	1029		old_locus_tag=APE0303,APE_0303
CDS	with_protein	GCF_000011125.1	Primary Assembly	chromosome		NC_000854.2	219506	220534	-	WP_010865652.1	WP_010865652.1		ABC transporter permease		1444529	APE_RS01165	1029	342	
gene	protein_coding	GCF_000011125.1	Primary Assembly	chromosome		NC_000854.2	220551	222950	-						1444530	APE_RS01170	2400		old_locus_tag=APE0304,APE_0304.1
CDS	with_protein	GCF_000011125.1	Primary Assembly	chromosome		NC_000854.2	220551	222950	-	WP_010865653.1	WP_010865653.1		PKD domain-containing protein		1444530	APE_RS01170	2400	799	
gene	protein_coding	GCF_000011125.1	Primary Assembly	chromosome		NC_000854.2	223391	224818	+						1444531	APE_RS01175	1428		old_locus_tag=APE0306,APE_0306.1
CDS	with_protein	GCF_000011125.1	Primary Assembly	chromosome		NC_000854.2	223391	224818	+	WP_010865654.1	WP_010865654.1		carbohydrate kinase		1444531	APE_RS01175	1428	475	
gene	protein_coding	GCF_000011125.1	Primary Assembly	chromosome		NC_000854.2	224734	226164	+						1444533	APE_RS01180	1431		old_locus_tag=APE0308,APE_0308.1
CDS	with_protein	GCF_000011125.1	Primary Assembly	chromosome		NC_000854.2	224734	226164	+	WP_010865655.1	WP_010865655.1		FAD-binding oxidoreductase		1444533	APE_RS01180	1431	476	
gene	protein_coding	GCF_000011125.1	Primary Assembly	chromosome		NC_000854.2	226157	227260	+						1444534	APE_RS01185	1104		old_locus_tag=APE0309,APE_0309.1
CDS	with_protein	GCF_000011125.1	Primary Assembly	chromosome		NC_000854.2	226157	227260	+	WP_010865656.1	WP_010865656.1		FAD-dependent oxidoreductase		1444534	APE_RS01185	1104	367	
gene	protein_coding	GCF_000011125.1	Primary Assembly	chromosome		NC_000854.2	227383	228213	+						1444535	APE_RS01190	831		old_locus_tag=APE0311,APE_0311
CDS	with_protein	GCF_000011125.1	Primary Assembly	chromosome		NC_000854.2	227383	228213	+	WP_010865657.1	WP_010865657.1		CoA ester lyase		1444535	APE_RS01190	831	276	
gene	protein_coding	GCF_000011125.1	Primary Assembly	chromosome		NC_000854.2	228321	228815	+					tsaA	1444536	APE_RS01195	495		old_locus_tag=APE0313,APE_0313.1
CDS	with_protein	GCF_000011125.1	Primary Assembly	chromosome		NC_000854.2	228321	228815	+	WP_010865658.1	WP_010865658.1		tRNA (N6-threonylcarbamoyladenosine(37)-N6)-methyltransferase TrmO	tsaA	1444536	APE_RS01195	495	164	
gene	protein_coding	GCF_000011125.1	Primary Assembly	chromosome		NC_000854.2	228879	229709	+						1444537	APE_RS01200	831		old_locus_tag=APE0314,APE_0314.1
CDS	with_protein	GCF_000011125.1	Primary Assembly	chromosome		NC_000854.2	228879	229709	+	WP_010865659.1	WP_010865659.1		M55 family metallopeptidase		1444537	APE_RS01200	831	276	
gene	protein_coding	GCF_000011125.1	Primary Assembly	chromosome		NC_000854.2	229719	230567	-					speB	1444538	APE_RS01205	849		old_locus_tag=APE0316,APE_0316.1
CDS	with_protein	GCF_000011125.1	Primary Assembly	chromosome		NC_000854.2	229719	230567	-	WP_148678876.1	WP_148678876.1		agmatinase	speB	1444538	APE_RS01205	849	282	
gene	protein_coding	GCF_000011125.1	Primary Assembly	chromosome		NC_000854.2	230611	232020	-					glmM	1444539	APE_RS01210	1410		old_locus_tag=APE0317,APE_0317.1
CDS	with_protein	GCF_000011125.1	Primary Assembly	chromosome		NC_000854.2	230611	232020	-	WP_148678877.1	WP_148678877.1		phosphoglucosamine mutase	glmM	1444539	APE_RS01210	1410	469	
gene	protein_coding	GCF_000011125.1	Primary Assembly	chromosome		NC_000854.2	232223	232765	-						1444540	APE_RS01215	543		old_locus_tag=APE0319,APE_0319
CDS	with_protein	GCF_000011125.1	Primary Assembly	chromosome		NC_000854.2	232223	232765	-	WP_010865662.1	WP_010865662.1		type 1 glutamine amidotransferase		1444540	APE_RS01215	543	180	
gene	protein_coding	GCF_000011125.1	Primary Assembly	chromosome		NC_000854.2	232913	233245	-						1444541	APE_RS01220	333		old_locus_tag=APE0320,APE_0320.1
CDS	with_protein	GCF_000011125.1	Primary Assembly	chromosome		NC_000854.2	232913	233245	-	WP_010865663.1	WP_010865663.1		ferredoxin family protein		1444541	APE_RS01220	333	110	
gene	protein_coding	GCF_000011125.1	Primary Assembly	chromosome		NC_000854.2	233419	233799	+						1444542	APE_RS01225	381		old_locus_tag=APE0321,APE_0321.1
CDS	with_protein	GCF_000011125.1	Primary Assembly	chromosome		NC_000854.2	233419	233799	+	WP_010865664.1	WP_010865664.1		hypothetical protein		1444542	APE_RS01225	381	126	
gene	protein_coding	GCF_000011125.1	Primary Assembly	chromosome		NC_000854.2	233796	235661	-						1444543	APE_RS01230	1866		old_locus_tag=APE0322,APE_0322.1
CDS	with_protein	GCF_000011125.1	Primary Assembly	chromosome		NC_000854.2	233796	235661	-	WP_010865665.1	WP_010865665.1		ATP-dependent DNA helicase		1444543	APE_RS01230	1866	621	
gene	protein_coding	GCF_000011125.1	Primary Assembly	chromosome		NC_000854.2	235839	236171	+						1444545	APE_RS01235	333		old_locus_tag=APE0325,APE_0325
CDS	with_protein	GCF_000011125.1	Primary Assembly	chromosome		NC_000854.2	235839	236171	+	WP_148678878.1	WP_148678878.1		DUF5518 domain-containing protein		1444545	APE_RS01235	333	110	
gene	tRNA	GCF_000011125.1	Primary Assembly	chromosome		NC_000854.2	236316	236428	-						1444546	APE_RS01240	113		old_locus_tag=APE_tRNA05,APEtRNA05
tRNA		GCF_000011125.1	Primary Assembly	chromosome		NC_000854.2	236316	236428	-				tRNA-Lys		1444546	APE_RS01240	77		anticodon=CTT
gene	protein_coding	GCF_000011125.1	Primary Assembly	chromosome		NC_000854.2	236514	237935	-						1444547	APE_RS01245	1422		old_locus_tag=APE0326,APE_0326.1
CDS	with_protein	GCF_000011125.1	Primary Assembly	chromosome		NC_000854.2	236514	237935	-	WP_148678879.1	WP_148678879.1		AAA family ATPase		1444547	APE_RS01245	1422	473	
gene	protein_coding	GCF_000011125.1	Primary Assembly	chromosome		NC_000854.2	238201	238698	-						1444549	APE_RS01250	498		old_locus_tag=APE0329,APE_0329.1
CDS	with_protein	GCF_000011125.1	Primary Assembly	chromosome		NC_000854.2	238201	238698	-	WP_010865668.1	WP_010865668.1		hypothetical protein		1444549	APE_RS01250	498	165	
gene	protein_coding	GCF_000011125.1	Primary Assembly	chromosome		NC_000854.2	238786	239790	-						1444550	APE_RS01255	1005		old_locus_tag=APE0330,APE_0330.1
CDS	with_protein	GCF_000011125.1	Primary Assembly	chromosome		NC_000854.2	238786	239790	-	WP_010865669.1	WP_010865669.1		MBL fold metallo-hydrolase		1444550	APE_RS01255	1005	334	
gene	protein_coding	GCF_000011125.1	Primary Assembly	chromosome		NC_000854.2	239967	240503	+						1444552	APE_RS01260	537		old_locus_tag=APE0333,APE_0333.1
CDS	with_protein	GCF_000011125.1	Primary Assembly	chromosome		NC_000854.2	239967	240503	+	WP_010865670.1	WP_010865670.1		dCTP deaminase		1444552	APE_RS01260	537	178	
gene	protein_coding	GCF_000011125.1	Primary Assembly	chromosome		NC_000854.2	240475	240819	-						1444553	APE_RS01265	345		old_locus_tag=APE0334,APE_0334
CDS	with_protein	GCF_000011125.1	Primary Assembly	chromosome		NC_000854.2	240475	240819	-	WP_010865671.1	WP_010865671.1		hypothetical protein		1444553	APE_RS01265	345	114	
gene	protein_coding	GCF_000011125.1	Primary Assembly	chromosome		NC_000854.2	240826	243381	-						1444554	APE_RS01270	2556		old_locus_tag=APE0336,APE_0336.1
CDS	with_protein	GCF_000011125.1	Primary Assembly	chromosome		NC_000854.2	240826	243381	-	WP_010865672.1	WP_010865672.1		penicillin acylase family protein		1444554	APE_RS01270	2556	851	
gene	protein_coding	GCF_000011125.1	Primary Assembly	chromosome		NC_000854.2	243483	244481	-						1444555	APE_RS01275	999		old_locus_tag=APE0337,APE_0337.1
CDS	with_protein	GCF_000011125.1	Primary Assembly	chromosome		NC_000854.2	243483	244481	-	WP_010865673.1	WP_010865673.1		dipeptidase		1444555	APE_RS01275	999	332	
gene	protein_coding	GCF_000011125.1	Primary Assembly	chromosome		NC_000854.2	244578	245948	+						1444556	APE_RS01280	1371		old_locus_tag=APE0338,APE_0338.1
CDS	with_protein	GCF_000011125.1	Primary Assembly	chromosome		NC_000854.2	244578	245948	+	WP_010865674.1	WP_010865674.1		serine hydrolase		1444556	APE_RS01280	1371	456	
gene	protein_coding	GCF_000011125.1	Primary Assembly	chromosome		NC_000854.2	245945	247036	-						1444557	APE_RS01285	1092		old_locus_tag=APE0339,APE_0339.1
CDS	with_protein	GCF_000011125.1	Primary Assembly	chromosome		NC_000854.2	245945	247036	-	WP_010865675.1	WP_010865675.1		hypothetical protein		1444557	APE_RS01285	1092	363	
gene	protein_coding	GCF_000011125.1	Primary Assembly	chromosome		NC_000854.2	247047	249266	-						1444558	APE_RS01290	2220		old_locus_tag=APE0340,APE_0340.1
CDS	with_protein	GCF_000011125.1	Primary Assembly	chromosome		NC_000854.2	247047	249266	-	WP_010865676.1	WP_010865676.1		hypothetical protein		1444558	APE_RS01290	2220	739	
gene	protein_coding	GCF_000011125.1	Primary Assembly	chromosome		NC_000854.2	249451	250500	-						1444560	APE_RS01295	1050		old_locus_tag=APE0342,APE_0342.1
CDS	with_protein	GCF_000011125.1	Primary Assembly	chromosome		NC_000854.2	249451	250500	-	WP_010865677.1	WP_010865677.1		acyl-CoA thioesterase		1444560	APE_RS01295	1050	349	
gene	protein_coding	GCF_000011125.1	Primary Assembly	chromosome		NC_000854.2	250616	251092	-						1444561	APE_RS01300	477		old_locus_tag=APE0343,APE_0343
CDS	with_protein	GCF_000011125.1	Primary Assembly	chromosome		NC_000854.2	250616	251092	-	WP_010865678.1	WP_010865678.1		50S ribosomal protein L15		1444561	APE_RS01300	477	158	
gene	protein_coding	GCF_000011125.1	Primary Assembly	chromosome		NC_000854.2	251106	251585	-					rpmD	1444563	APE_RS01305	480		old_locus_tag=APE0345,APE_0345.1
CDS	with_protein	GCF_000011125.1	Primary Assembly	chromosome		NC_000854.2	251106	251585	-	WP_010865679.1	WP_010865679.1		50S ribosomal protein L30	rpmD	1444563	APE_RS01305	480	159	
gene	protein_coding	GCF_000011125.1	Primary Assembly	chromosome		NC_000854.2	251631	252287	-					rpsE	1444564	APE_RS01310	657		old_locus_tag=APE0346,APE_0346
CDS	with_protein	GCF_000011125.1	Primary Assembly	chromosome		NC_000854.2	251631	252287	-	WP_010865680.1	WP_010865680.1		30S ribosomal protein S5	rpsE	1444564	APE_RS01310	657	218	
gene	protein_coding	GCF_000011125.1	Primary Assembly	chromosome		NC_000854.2	252316	252960	-						1444565	APE_RS01315	645		old_locus_tag=APE0347,APE_0347
CDS	with_protein	GCF_000011125.1	Primary Assembly	chromosome		NC_000854.2	252316	252960	-	WP_010865681.1	WP_010865681.1		50S ribosomal protein L18		1444565	APE_RS01315	645	214	
gene	protein_coding	GCF_000011125.1	Primary Assembly	chromosome		NC_000854.2	252981	253448	-						1444566	APE_RS01320	468		old_locus_tag=APE0348,APE_0348
CDS	with_protein	GCF_000011125.1	Primary Assembly	chromosome		NC_000854.2	252981	253448	-	WP_010865682.1	WP_010865682.1		50S ribosomal protein L19e		1444566	APE_RS01320	468	155	
gene	protein_coding	GCF_000011125.1	Primary Assembly	chromosome		NC_000854.2	253469	253849	-						1444567	APE_RS01325	381		old_locus_tag=APE0349,APE_0349
CDS	with_protein	GCF_000011125.1	Primary Assembly	chromosome		NC_000854.2	253469	253849	-	WP_148679248.1	WP_148679248.1		50S ribosomal protein L32e		1444567	APE_RS01325	381	126	
gene	protein_coding	GCF_000011125.1	Primary Assembly	chromosome		NC_000854.2	253906	254454	-						1444568	APE_RS01330	549		old_locus_tag=APE0350,APE_0350
CDS	with_protein	GCF_000011125.1	Primary Assembly	chromosome		NC_000854.2	253906	254454	-	WP_010865684.1	WP_010865684.1		50S ribosomal protein L6		1444568	APE_RS01330	549	182	
gene	protein_coding	GCF_000011125.1	Primary Assembly	chromosome		NC_000854.2	254575	254976	-						1444569	APE_RS01335	402		old_locus_tag=APE0352,APE_0352.1
CDS	with_protein	GCF_000011125.1	Primary Assembly	chromosome		NC_000854.2	254575	254976	-	WP_010865685.1	WP_010865685.1		30S ribosomal protein S8		1444569	APE_RS01335	402	133	
gene	protein_coding	GCF_000011125.1	Primary Assembly	chromosome		NC_000854.2	254993	255157	-						1445543	APE_RS01340	165		old_locus_tag=APE_0352a
CDS	with_protein	GCF_000011125.1	Primary Assembly	chromosome		NC_000854.2	254993	255157	-	WP_010865686.1	WP_010865686.1		30S ribosomal protein S14		1445543	APE_RS01340	165	54	
gene	protein_coding	GCF_000011125.1	Primary Assembly	chromosome		NC_000854.2	255178	255756	-						1444570	APE_RS01345	579		old_locus_tag=APE0354,APE_0354.1
CDS	with_protein	GCF_000011125.1	Primary Assembly	chromosome		NC_000854.2	255178	255756	-	WP_010865687.1	WP_010865687.1		50S ribosomal protein L5		1444570	APE_RS01345	579	192	
gene	protein_coding	GCF_000011125.1	Primary Assembly	chromosome		NC_000854.2	255753	256514	-						1444571	APE_RS01350	762		old_locus_tag=APE0356,APE_0356.1
CDS	with_protein	GCF_000011125.1	Primary Assembly	chromosome		NC_000854.2	255753	256514	-	WP_010865688.1	WP_010865688.1		30S ribosomal protein S4e		1444571	APE_RS01350	762	253	
gene	protein_coding	GCF_000011125.1	Primary Assembly	chromosome		NC_000854.2	256558	256950	-						1444572	APE_RS01355	393		old_locus_tag=APE0358,APE_0358
CDS	with_protein	GCF_000011125.1	Primary Assembly	chromosome		NC_000854.2	256558	256950	-	WP_148679249.1	WP_148679249.1		50S ribosomal protein L24		1444572	APE_RS01355	393	130	
gene	protein_coding	GCF_000011125.1	Primary Assembly	chromosome		NC_000854.2	256976	257398	-						1444573	APE_RS01360	423		old_locus_tag=APE0359,APE_0359
CDS	with_protein	GCF_000011125.1	Primary Assembly	chromosome		NC_000854.2	256976	257398	-	WP_010865690.1	WP_010865690.1		50S ribosomal protein L14		1444573	APE_RS01360	423	140	
gene	protein_coding	GCF_000011125.1	Primary Assembly	chromosome		NC_000854.2	257411	257755	-						1444574	APE_RS01365	345		old_locus_tag=APE0360,APE_0360.1
CDS	with_protein	GCF_000011125.1	Primary Assembly	chromosome		NC_000854.2	257411	257755	-	WP_010865691.1	WP_010865691.1		30S ribosomal protein S17		1444574	APE_RS01365	345	114	
gene	protein_coding	GCF_000011125.1	Primary Assembly	chromosome		NC_000854.2	257725	258057	-						1444575	APE_RS01370	333		old_locus_tag=APE0362,APE_0362
